,Month,Numbers of approvals
0,Jul '20,112259
1,Jun '20,85432
2,May '20,46026
3,Apr '20,56727
4,Mar '20,111165
5,Feb '20,140801
6,Jan '20,136353
7,Dec '19,130849
8,Nov '19,127524
9,Oct '19,130443
10,Sep '19,129789
11,Aug '19,129301
12,Jul '19,128610
13,Jun '19,129249
14,May '19,129144
15,Apr '19,130794
16,Mar '19,126317
17,Feb '19,128030
18,Jan '19,130342
19,Dec '18,125465
20,Nov '18,127947
21,Oct '18,129716
22,Sep '18,129741
23,Aug '18,133633
24,Jul '18,126149
25,Jun '18,129078
26,May '18,131451
27,Apr '18,124821
28,Mar '18,124489
29,Feb '18,123918
30,Jan '18,127683
31,Dec '17,123561
32,Nov '17,133718
33,Oct '17,128752
34,Sep '17,127232
35,Aug '17,126258
36,Jul '17,131683
37,Jun '17,125557
38,May '17,124407
39,Apr '17,123717
40,Mar '17,125995
41,Feb '17,127243
42,Jan '17,128140
