,Quarter,Index
0,Q1 '11,12
1,Q2 '11,0
2,Q3 '11,0
3,Q4 '11,-3
4,Q1 '12,15
5,Q2 '12,23
6,Q3 '12,17
7,Q4 '12,-11
8,Q1 '13,9
9,Q2 '13,16
10,Q3 '13,25
11,Q4 '13,24
12,Q1 '14,45
13,Q2 '14,47
14,Q3 '14,49
15,Q4 '14,58
16,Q1 '15,71
17,Q2 '15,64
18,Q3 '15,59
19,Q4 '15,54
20,Q1 '16,67
21,Q2 '16,64
22,Q3 '16,68
23,Q4 '16,80
24,Q1 '17,100
25,Q2 '17,95
26,Q3 '17,106
27,Q4 '17,103
28,Q1 '18,107
29,Q2 '18,106
30,Q3 '18,118
31,Q4 '18,129
32,Q1 '19,106
33,Q2 '19,129
34,Q3 '19,136
35,Q4 '19,142
36,Q1 '20,132
37,Q2 '20,48
38,Q3 '20,60
39,Q4 '20,72
