,Industry,Number of jobs in thousands
0,Retail trade,2044.27
1,Manufacturing,1647.41
2,Construction,1477.18
3,Accommodation and food services,1360.76
4,"Professional, scientific and technical services",1313.43
5,"Finance and insurance, and holding companies",1044.98
6,"Administrative and support, waste management and remediation services",1008.23
7,Transportation and warehousing,901.02
8,Wholesale trade,818.74
9,Health care and social assistance,713.41
10,Other private services,708.7
11,"Agriculture, forestry, fishing and hunting",377.46
12,"Real estate, rental and leasing",371.44
13,Information and cultural industries,348.81
14,"Arts, entertainment and recreation",329.74
15,Mining and oil and gas extraction,241.37
16,Educational services,138.83
17,Utilities,121.24
