,Year,GDP per capita
0,2025*,60890.48
1,2024*,58849.03
2,2023*,56966.92
3,2022*,54875.57
4,2021*,51967.33
5,2020*,45466.12
6,2019,46472.62
7,2018,47832.06
8,2017,44537.1
9,2016,42124.32
10,2015,41107.22
11,2014,48035.8
12,2013,46544.95
13,2012,44089.28
14,2011,46852.93
15,2010,42641.42
16,2009,42576.21
17,2008,46681.07
18,2007,42531.25
19,2006,37018.78
20,2005,35236.68
21,2004,34646.67
22,2003,30779.57
23,2002,25565.13
24,2001,23945.53
25,2000,24003.79
26,1999,27053.85
27,1998,27580.22
28,1997,27253.13
29,1996,30743.14
30,1995,31901.25
31,1994,27244.57
32,1993,25568.59
33,1992,26432.96
34,1991,23364.33
35,1990,20172.52
36,1989,16170.71
37,1988,16452.17
38,1987,15353.22
39,1986,12340.14
40,1985,8646.02
