,Year,Kit sponsorship revenue in million euros
0,FC Bayern Munich (Telekom),35.0
1,FC Schalke 04 (Gazprom)*,24.0
2,VfL Wolfsburg (Volkswagen)**,20.0
3,Borussia Dortmund (Evonik),20.0
4,RB Leipzig (Red Bull)**,9.0
5,Borussia Mönchengladbach (Postbank)*,9.0
6,1. FC Köln (Rewe),7.5
7,Hertha BSC Berlin (Tedi),7.5
8,SV Werder Bremen (Wiesenhof),7.3
9,Eintracht Frankfurt (Indeed),6.7
10,Bayer 04 Leverkusen (Barmenia),6.0
11,1899 Hoffenheim (SAP),5.0
12,FSV Mainz 05 (Kömmerling),4.0
13,FC Augsburg (WWK)*,4.5
14,Fortuna Düsseldorf (Henkel),3.0
15,SC Freiburg (Schwarzwaldmilch),3.0
16,Union Berlin (Aroundtown),2.5
17,SC Paderborn (Sunmaker),2.0
