,Country,Number of individuals
0,France,178665
1,United Kingdom,147568
2,Germany,79400
3,Italy,75711
4,Spain,59857
5,Austria,19216
6,Portugal,17246
7,Belgium,16179
8,Turkey,12500
9,Ireland,10332
10,Greece,9162
11,Norway,7762
12,Denmark,6600
13,Netherlands,5241
14,Czechia,5000
15,Croatia,4792
16,Sweden,4014
17,Finland,3329
18,Slovenia,3301
19,Bulgaria,3181
20,Poland,2797
21,Romania,1772
22,Lithuania,1275
23,Luxembourg,1142
24,Estonia,1052
25,Malta,729
26,Latvia,690
27,Hungary,650
28,Slovakia,620
29,Cyprus,257
