,Ranking of the companies rank 1 to 100,Market value in billion U.S. dollars
0,Apple,961.3
1,Microsoft,946.5
2,Amazon.com,916.1
3,Alphabet,863.2
4,Berkshire Hathaway,516.4
5,Facebook,512.0
6,Alibaba,480.8
7,Tencent Holdings,472.1
8,JPMorgan Chase,368.5
9,Johnson & Johnson,366.2
10,Visa,351.9
11,ExxonMobil,343.4
12,ICBC,305.1
13,Walmart,296.1
14,Bank of America,287.3
15,Nestlé,281.3
16,Samsung Electronics,272.4
17,Procter & Gamble,265.3
18,Royal Dutch Shell,264.9
19,Intel,263.1
20,Cisco Systems,248.3
21,Mastercard,247.1
22,Verizon Communications,239.7
23,Walt Disney,238.1
24,AT&T,233.3
25,Chevron,228.3
26,Home Depot,226.8
27,China Construction Bank,225.0
28,Nike,224.3
29,Taiwan Semiconductor,222.4
30,Roche Holding,222.0
31,Ping An Insurance Group,220.2
32,Pfizer,218.6
33,Wells Fargo,214.7
34,Boeing,214.5
35,UnitedHealth Group,212.8
36,Coca-Cola,203.0
37,PetroChina,198.7
38,China Mobile,197.6
39,Agricultural Bank of China,197.0
40,Comcast,192.0
41,Merck & Co.,189.1
42,Oracle,186.3
43,PepsiCo,178.2
44,Kweichow Moutai,177.1
45,Toyota Motor,176.6
46,Novartis,175.6
47,HSBC Holdings,175.5
48,Citigroup,161.1
49,Netflix,157.3
50,Unilever,153.6
51,L'Oréal Group,153.0
52,BP,149.5
53,Total,149.5
54,McDonald's,148.8
55,Bank of China,143.0
56,BHP Billiton,138.3
57,SAP,134.9
58,Adobe Systems,132.0
59,Philip Morris International,131.5
60,China Merchants Bank,130.4
61,Abbott Laboratories,129.8
62,Reliance Industries,126.4
63,Broadcom,126.1
64,3M,126.1
65,PayPal,125.8
66,Union Pacific,125.6
67,IBM,124.9
68,Honeywell International,123.1
69,AIA Group,122.2
70,Salesforce.com,120.9
71,Eli Lilly,119.3
72,United Technologies,118.1
73,Novo Nordisk,116.3
74,Tata Consultancy Services,116.1
75,Royal Bank of Canada,114.9
76,AbbVie,114.7
77,China Life Insurance,114.2
78,Accenture,113.9
79,NVIDIA,113.4
80,Medtronic,113.0
81,Softbank,112.4
82,Naspers,111.3
83,Amgen,109.3
84,Texas Instruments,108.4
85,Costco Wholesale,108.1
86,Sinopec,105.6
87,AIRBUS,104.9
88,Thermo Fisher Scientific,103.9
89,TD Bank Group,103.8
90,Allianz,102.3
91,Sanofi,102.0
92,Altria Group,101.8
93,Rio Tinto,100.0
94,Saudi Basic Industries,100.0
95,AstraZeneca,99.2
96,United Parcel Service,98.3
97,Linde,98.3
98,Inditex,98.0
99,Anheuser-Busch InBev,0.7
