,Response,Percentage of people below the poverty line
0,"Detroit city, Michigan",30.6%
1,"Philadelphia city, Pennsylvania",23.3%
2,"Houston city, Texas",19.7%
3,"El Paso city, Texas",18.6%
4,"Dallas city, Texas",17.5%
5,"Boston city, Massachusetts",17.1%
6,"San Antonio city, Texas",16.8%
7,"Los Angeles city, California",16.7%
8,"Chicago city, Illinois",16.4%
9,"Columbus city, Ohio",16.3%
10,"New York city, New York",16%
11,"Oklahoma City city, Oklahoma",15.8%
12,"Indianapolis city (balance), Indiana",15.8%
13,"Phoenix city, Arizona",15.6%
14,"Jacksonville city, Florida",14.1%
15,"Washington city, District of Columbia",13.5%
16,"Nashville-Davidson metropolitan government (balance), Tennessee",12.6%
17,"Austin city, Texas",12.2%
18,"Fort Worth city, Texas",11.9%
19,"Denver city, Colorado",11.7%
20,"Charlotte city, North Carolina",11.2%
21,"San Diego city, California",11%
22,"Seattle city, Washington",9.8%
23,"San Francisco city, California",9.5%
24,"San Jose city, California",7.1%
