,Month,World Ranking Points
0,Ashleigh Barty,8387
1,Simona Halep,6076
2,Karolína Plíšková,5200
3,Bianca Andreescu,4665
4,Sofia Kenin,4490
5,Kiki Bertens,4335
6,Elina Svitolina,4301
7,Serena Williams,3915
8,Belinda Bencic,3875
9,Naomi Osaka,3625
10,Petra Kvitová,2981
11,Madison Keys,2962
12,Aryna Sabalenka,2815
13,Petra Martić,2770
14,Johanna Konta,2753
15,Garbiñe Muguruza,2522
16,Elena Rybakina,2416
17,Markéta Vondroušová,2306
18,Alison Riske,2270
19,Maria Sakkari,2085
20,Angelique Kerber,2040
21,Anett Kontaveit,1980
22,Elise Mertens,1950
23,Donna Vekić,1935
24,Dayana Yastremska,1785
25,Ekaterina Alexandrova,1775
26,Karolína Muchová,1753
27,Qiang Wang,1733
28,Amanda Anisimova,1613
29,Anastasia Pavlyuchenkova,1540
30,Shuai Zhang,1475
31,Yulia Putintseva,1475
32,Magda Linette,1472
33,Barbora Strýcová,1471
34,Sloane Stephens,1453
35,Julia Görges,1423
36,Caroline Wozniacki,1463
37,Saisai Zheng,1380
38,Veronika Kudermetova,1373
39,Kristina Mladenovic,1335
40,Anastasija Sevastova,1288
41,Jeļena Ostapenko,1256
42,Polona Hercog,1205
43,Rebecca Peterson,1195
44,Ons Jabeur,1185
45,Jennifer Brady,1179
46,Svetlana Kuznetsova,1178
47,Caroline Garcia,1145
48,Danielle Collins,1115
49,Cori Gauff,1082
50,Iga Świątek,1079
