,quarter,Net sales in million U.S. dollars
0,3Q '20,1109.19
1,2Q '20,869.87
2,1Q '20,856.11
3,4Q '19,1102.23
4,3Q '19,934.38
5,2Q '19,954.84
6,1Q '19,766.05
7,4Q '18,932.11
8,3Q '18,810.01
9,2Q '18,894.45
10,1Q '18,710.87
11,4Q '17,888.5
12,3Q '17,743.08
13,2Q '17,813.49
14,1Q '17,641.51
15,4Q '16,860.77
16,3Q '16,722.25
17,2Q '16,811.61
18,1Q '16,624.04
19,4Q '15,781.36
20,3Q '15,679.69
21,2Q '15,773.83
22,1Q '15,585.39
23,4Q '14,803.3
24,3Q '14,706.28
25,2Q '14,777.85
26,1Q '14,583.22
27,4Q '13,759.69
28,3Q '13,643.64
29,2Q '13,696.56
30,1Q '13,531.96
31,4Q '12,769.0
32,3Q '12,672.38
33,2Q '12,718.0
34,1Q '12,556.6
35,4Q '11,910.0
36,3Q '11,666.99
37,2Q '11,674.1
38,1Q '11,507.83
39,4Q '10,837.72
40,3Q '10,692.36
41,2Q '10,728.77
42,1Q '10,431.07
43,4Q '09,1059.38
44,3Q '09,781.25
45,2Q '09,669.1
46,1Q '09,436.7
