,Response,Share of GDP
0,Real estate and rental and leasing,15.47%
1,Public administration,12.38%
2,Health care and social assistance,11.32%
3,Manufacturing,7.5%
4,Educational services,7.08%
5,Retail trade,6.85%
6,Construction,5.86%
7,Finance and insurance,5.52%
8,"Professional, scientific and technical services",4.33%
9,Transportation and warehousing,3.69%
10,"Agriculture, forestry, fishing and hunting",3.4%
11,Wholesale trade,3.2%
12,Information and cultural industries,2.68%
13,Accommodation and food services,2.68%
14,Utilities,2.15%
15,"Administrative and support, waste management and remediation services",2.12%
16,Other services (except public administration),2.08%
17,"Mining, quarrying, and oil and gas extraction",0.8%
18,"Arts, entertainment and recreation",0.62%
19,Management of companies and enterprises,0.27%
