,Year,Gross domestic product in billion U.S. dollars
0,2021*,39.42
1,2020*,37.34
2,2019,36.63
3,2018,34.66
4,2017,33.82
5,2016,32.76
6,2015,33.24
7,2014,33.04
8,2013,33.27
9,2012,33.41
10,2011,32.48
11,2010,30.67
12,2009,29.53
13,2008,29.85
14,2007,29.87
15,2006,29.06
16,2005,27.01
17,2004,26.09
18,2003,25.28
19,2002,24.12
20,2001,22.86
21,2000,21.77
22,1999,20.71
23,1998,19.81
24,1997,19.7
25,1996,19.65
26,1995,18.76
27,1994,17.59
28,1993,16.69
29,1992,16.26
30,1991,15.17
31,1990,14.23
32,1989,13.57
33,1988,12.77
34,1987,12.38
35,1986,12.05
36,1985,12.15
37,1984,-
