,Month,Total rainfall in millimeters
0,Dec '19,138.9
1,Nov '19,117.6
2,Oct '19,138.8
3,Sep '19,122.4
4,Aug '19,136.5
5,Jul '19,88.9
6,Jun '19,111.5
7,May '19,64.8
8,Apr '19,51.4
9,Mar '19,132.9
10,Feb '19,72.8
11,Jan '19,63.6
12,Dec '18,119.5
13,Nov '18,122.6
14,Oct '18,104.4
15,Sep '18,104.5
16,Aug '18,84.9
17,Jul '18,55.3
18,Jun '18,35.4
19,May '18,48.5
20,Apr '18,86.3
21,Mar '18,104.4
22,Feb '18,64.3
23,Jan '18,133.5
24,Dec '17,121.5
25,Nov '17,108.2
26,Oct '17,102.5
27,Sep '17,117.8
28,Aug '17,102.8
29,Jul '17,101.7
30,Jun '17,110.6
31,May '17,57.3
32,Apr '17,33.6
33,Mar '17,98.1
34,Feb '17,93.9
35,Jan '17,76.4
36,Dec '16,77.9
37,Nov '16,104.7
38,Oct '16,47.4
39,Sep '16,97.0
40,Aug '16,85.5
41,Jul '16,79.0
42,Jun '16,95.5
43,May '16,61.3
44,Apr '16,77.7
45,Mar '16,83.4
46,Feb '16,110.8
47,Jan '16,179.6
48,Dec '15,218.8
49,Nov '15,172.9
50,Oct '15,72.4
51,Sep '15,52.3
52,Aug '15,105.0
53,Jul '15,108.0
54,Jun '15,56.5
55,May '15,110.3
56,Apr '15,45.7
57,Mar '15,95.6
58,Feb '15,80.5
59,Jan '15,154.3
60,Dec '14,132.6
61,Nov '14,123.7
62,Oct '14,158.5
63,Sep '14,22.8
64,Aug '14,138.8
65,Jul '14,64.7
66,Jun '14,54.8
67,May '14,99.6
68,Apr '14,67.8
69,Mar '14,80.0
70,Feb '14,169.2
71,Jan '14,188.0
