,Country,Number of adults in thousands
0,China,1090231
1,India,865783
2,Indonesia,172908
3,Pakistan,113388
4,Japan,104963
5,Bangladesh,104872
6,Vietnam,68085
7,Philippines,63365
8,Thailand,53073
9,South Korea,41721
10,Myanmar,34915
11,Malaysia,21823
12,Taiwan,19296
13,Australia,18655
14,North Korea,18560
15,Nepal,17585
16,Sri Lanka,14408
17,Cambodia,9797
18,Hong Kong,6267
19,Singapore,4637
20,Papua New Guinea,4611
21,Laos,4042
22,New Zealand,3525
23,Mongolia,1986
24,Timor/Leste,602
25,Bhutan,535
26,Brunei,304
