,Vegetable,Amount in million metric tons
0,Tomatoes,182.26
1,"Onions, dry",96.77
2,Cucumbers and gherkins,75.22
3,Cabbages and other brassicas,69.38
4,Eggplants (aubergines),54.08
5,Carrots and turnips,40.0
6,"Chillies and peppers, green",36.77
7,Garlic,28.49
8,"Pumpkins, squash and gourds",27.64
9,Lettuce and chicory,27.26
10,Cauliflowers and broccoli,26.5
11,Spinach,26.26
12,"Beans, green",24.75
13,"Peas, green",21.23
14,"Maize, green",11.52
15,Okra,9.87
16,Asparagus,9.11
17,Mushrooms and truffles,8.99
18,"Onions, shallots, green",5.47
19,Cassava leaves,2.37
20,"Leeks, other alliaceous vegetables",2.18
21,String beans,1.87
22,Artichokes,1.68
