,Response,Share of respondents
0,Air pollution,58%
1,"Water pollution (seas, rivers, lakes and underground sources)",52%
2,The impact on our health of chemicals used in everyday products,51%
3,Depletion of natural resources,47%
4,The growing amount of waste,41%
5,"Agricultural pollution (use of pesticides. fertilizers, etc.)",35%
6,Shortage of drinking water,33%
7,"Loss or extinction of species and their habitats and of natural ecosystems (forests, fertile soils)",29%
8,Our consumption habits,28%
9,"Urban problems (traffic jams, pollution, lack of green spaces, etc.)",19%
